FACMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportName,Exclusive State Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period ,Report From :- 17/03/2025 06:00:00 To -: 22/06/2025 22:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department,ONTRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Description,,,,Cycling,,Starved,,Blocked,,Waiting Aux,,Paused,,Overcycle,,Production Hold,,Bypass,,Break,,Waiting Attention,,Repair in Progress,,Manual Mode,,Manual Intervention,,Tool Change,,Emergency Stop,,Setup,,Total,Occ.
,,PANOGRAPHIC ROOF,,,,13504:51,28879,3146:27:00,25708,5840:45:00,13047,00:00,0,9031:35:00,28526,841:08:00,833,00:00,0,00:00,0,3478:56:00,248,15776:21,591,3264:07:00,136,00:00,0,24:44:00,50,00:00,0,58:16:00,4,00:00,0,45979:58,59267
,,LINE 12,,,,18938:02,7500,2202:21:00,3378,1472:46:00,1730,00:00,0,3674:55:00,5034,00:00,0,916:42:00,2025,00:00,0,10727:15,213,431:47:00,342,26:30:00,8,1433:14:00,102,9832:33:00,103,00:00,0,07:51,1,00:00,0,45979:49,15328
,,SKLT LINE 3,,,,17272:46,15008,957:36:00,1705,3159:14:00,7275,00:00,0,4116:56:00,8458,00:00,0,1973:39:00,6252,00:00,0,11764:18,203,7134:08:00,509,2222:40:00,159,1409:55:00,10,84:37:00,13,00:00,0,00:00,0,00:00,0,45978:59,30612
,,SKLT LINE 4,,,,17335:27,13178,135:42:00,192,4312:34:00,10189,00:00,0,4448:53:00,8471,00:00,0,1717:59:00,6033,00:00,0,10102:34,206,9794:41:00,400,2199:56:00,125,21:37,52,358:52:00,26,00:00,0,00:00,0,00:00,0,45979:59,28491
,,VIN BODY MARKER,,,,18981:38,18311,1937:04:00,13250,2908:54:00,13279,00:00,0,4863:41:00,18147,00:00,0,00:00,0,00:00,0,16843:09,208,681:08:00,42,81:51:00,5,182:42:00,44,4345:38:00,37,00:00,0,00:07,1,00:00,0,45979:54,36795
,,GLAZING LH,,,,18161:45,15439,3203:27:00,10636,07:42,5557,00:00,0,3208:35:00,14856,2435:46:00,1150,00:00,0,00:00,0,8199:18:00,261,6520:41:00,164,4178:48:00,84,40:34:00,69,3234:23:00,12,00:00,0,00:00,0,00:00,0,45979:50,32035
,,GLAZING RH,,,,17651:08,15403,3392:08:00,9633,07:55,5489,00:00,0,3397:59:00,13959,2780:57:00,1602,00:00,0,00:00,0,6506:09:00,270,6647:48:00,188,5920:47:00,90,2190:12:00,74,878:59:00,30,00:00,0,00:00,0,00:00,0,45973:59,31616
,,PBR2 LINE 1 ,,,,17217:01,16896,00:00,0,5262:15:00,11890,00:00,0,5260:49:00,11885,1013:41:00,5809,61:20:00,32,00:00,0,10935:47,227,11454:30,295,36:26:00,37,00:00,0,00:18,28,00:00,0,00:00,0,00:00,0,45979:52,35209
,,PBR2 LINE 2,,,,17934:26,9446,653:29:00,1394,18013:47,6723,00:00,0,4927:34:00,7876,00:00,0,937:34:00,1564,00:00,0,14364:44,200,7798:03:00,82,11:04,11,00:00,0,05:55,34,00:00,0,00:00,0,00:00,0,45979:20,19213
,,POWER & FREE CONVEYOR 2,,,,18357:22,9108,2769:44:00,4797,2093:31:00,3607,00:00,0,4863:06:00,8385,00:00,0,373:39:00,521,00:00,0,6930:58:00,215,6917:48:00,333,5100:14:00,116,1504:36:00,50,1931:21:00,33,00:00,0,00:00,0,00:00,0,45979:04,18761
,,LINE 10,,,,18071:10,11258,3259:13:00,7123,1499:59:00,1916,00:00,0,4755:55:00,8690,00:00,0,1017:22:00,2573,00:00,0,17280:18,198,2977:09:00,47,1591:50:00,3,234:48:00,12,50:59:00,11,00:00,0,00:00,0,00:00,0,45979:31,22792
,,LINE 5 AND 6,,,,18077:53,11608,1218:29:00,1527,1976:47:00,2730,00:00,0,3195:21:00,4233,00:00,0,2459:52:00,7032,00:00,0,14843:16,201,4537:21:00,421,381:46:00,5,1916:55:00,13,565:57:00,14,00:00,0,00:00,0,00:00,0,45978:21,23527
,,LINE 8 AND 9,,,,18328:07,16078,2245:00:00,3326,1228:49:00,1057,00:00,0,3473:20:00,4381,00:00,0,2066:11:00,13168,00:00,0,15718:20,190,4416:17:00,23,1819:52:00,3,12:36,5,144:30:00,5,00:00,0,00:00,0,00:00,0,45979:13,33853
,,PAINT BRIDGE 1,,,,34463:03,13902,01:11,564,904:47:00,13317,00:00,0,906:30:00,13852,00:00,0,00:00,0,00:00,0,00:00,0,7705:54:00,64,462:25:00,25,16:10,33,2425:44:00,35,00:00,0,00:00,0,00:00,0,45979:46,27911
,,HEVS Sub Assembly,,,,16416:06,6931,67:31:00,434,00:00,0,00:00,0,67:39:00,434,7329:31:00,6681,00:00,0,00:00,0,15918:39,184,94:22:00,55,01:55,2,1970:09:00,10,4179:13:00,2,00:00,0,00:00,0,00:00,0,45977:34,14299
,,MULTI ENGINE GEARBOX ASSEMBLY,,,,16465:53,24157,2844:28:00,9351,1419:37:00,7920,00:00,0,4267:16:00,10089,1926:47:00,15556,745:11:00,2194,00:00,0,12077:50,195,7853:03:00,430,11:18,2,2596:37:00,15,34:50:00,20,00:00,0,00:00,0,00:00,0,45978:45,52658
,,LN10 STN1002 FLUID FILL MACHINE 1,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1003 FLUID FILL MACHINE 2,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1004 FLUID FILL MACHINE 3,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1005 FLUID FILL MACHINE 4,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,MARRIAGE LOOP ,,,,18819:20,23053,955:04:00,14531,1187:24:00,1941,00:00,0,2137:19:00,15689,1694:07:00,6983,00:00,0,00:00,0,5781:12:00,278,6348:15:00,735,1459:26:00,25,00:00,0,25:01:00,53,00:00,0,9715:15:00,755,00:00,0,45979:55,47571
,,PREMARRIAGE,,,,18046:57,31645,2392:10:00,21426,1719:47:00,3049,00:00,0,4107:42:00,23770,00:00,0,1053:58:00,8783,00:00,0,8245:58:00,193,5340:30:00,283,9180:37:00,23,00:00,0,04:05,8,00:00,0,00:00,0,00:00,0,45979:47,64705
,,LN10 STN1007 FLUID FILL MACHINE 5,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1008 FLUID FILL MACHINE 6,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1009 FLUID FILL MACHINE 7,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN11 BACKUP MOBILE 8 FLUID FILL MACHINE 8,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN11 BACKUP MOBILE 9 FLUID FILL MACHINE 9,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN12 FLUID FILL MACHINE 10,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1001 FLUID FILL MACHINE BK,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN10 STN1006 FLUID FILL MACHINE UCL,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,LN09 Pre-Vac Station FLUID FILL MACHINE PVAC,,,,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,
,,DOOR SEAL CELL,,,,23364:09,292,00:00,0,00:00,0,00:00,0,00:00,0,233:02:00,52,00:00,0,00:00,0,14653:45,200,54:04:00,63,00:00,0,2881:01:00,29,4673:59:00,14,00:00,0,00:00,0,00:00,0,45860:00,650
,,ENGINE DRESS,,,,18164:21,16812,3342:51:00,11190,1013:47:00,2852,00:00,0,4355:34:00,13547,00:00,0,1068:21:00,3132,00:00,0,11473:28,191,10917:06,56,00:00,0,00:37,3,00:00,0,00:00,0,00:00,0,00:00,0,45979:27,33741
,,FRONT AXLE,,,,17516:43,15317,1244:06:00,11821,1563:15:00,1497,00:00,0,2799:17:00,9101,371:27:00,2008,2321:40:00,6009,00:00,0,11649:42,199,5114:28:00,410,3102:44:00,32,292:42:00,47,292:20:00,28,00:00,0,2518:11:00,14,00:00,0,45979:14,33165
,,REAR AXLE LINE,,,,19753:23,26593,1271:42:00,19348,834:37:00,4771,00:00,0,2098:46:00,20299,504:44:00,2859,885:14:00,3571,00:00,0,9983:05:00,200,7005:29:00,385,244:49:00,13,1249:34:00,18,4254:24:00,12,00:00,0,00:00,0,00:00,0,45979:28,53950
,,DOOR LINE LH,,,,19561:08,9695,319:38:00,991,1779:05:00,1267,00:00,0,2098:59:00,2255,00:00,0,1936:27:00,7302,00:00,0,7116:16:00,210,4706:30:00,108,10521:31,44,00:00,0,38:10:00,74,00:00,0,00:00,0,00:00,0,45979:01,19688
,,DOOR LINE RH,,,,19472:38,10146,409:14:00,1395,2076:17:00,1772,00:00,0,2477:40:00,3139,00:00,0,1794:34:00,6891,00:00,0,8528:32:00,189,4836:21:00,43,8869:03:00,26,00:00,0,00:01,11,00:00,0,00:00,0,00:00,0,45978:49,20445
,,A POST CELL,,,,23160:22,13899,672:39:00,13966,15:03,9083,00:00,0,668:01:00,13717,00:00,0,00:00,0,00:00,0,8056:53:00,215,73:15:00,72,148:59:00,26,5732:35:00,39,8139:53:00,29,00:00,0,00:00,0,00:00,0,45979:58,27997
,,BUMPER JIT OUTSIDE,,,,3684:14:00,13253,144:02:00,1143,37563:23,13057,00:00,0,37707:04,13091,00:00,0,00:00,0,00:00,0,00:00,0,4396:01:00,372,175:55:00,26,00:00,0,14:30,24,00:00,0,00:00,0,00:00,0,45977:44,26766
,,BUMPER JIT INSIDE,,,,44951:07,13393,314:53:00,13199,43:04:00,21,00:00,0,357:51:00,13211,00:00,0,00:00,0,00:00,0,00:00,0,218:16:00,178,170:34:00,3,09:21,9,270:27:00,11,00:00,0,00:00,0,00:00,0,45977:36,26805
,,MEGA HARNESS HEATER,,,,24050:07,193,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,00:00,0,20698:48,209,00:00,0,00:00,0,00:00,0,1103:17:00,20,00:00,0,07:48,5,00:00,0,45860:00,427
,,SEAT JIT CONVEYOR,,,,31105:54,469,00:00,0,02:10,221,00:00,0,01:55,163,00:00,0,00:00,0,00:00,0,00:00,0,14538:57,391,222:41:00,57,00:00,0,16:31,86,00:00,0,00:00,0,00:00,0,45885:58,1166
,,SEAT JIT CONVEYOR,,,,35489:52,81491,4881:31:00,82381,461:09:00,15346,00:00,0,5342:39:00,80860,00:00,0,00:00,0,00:00,0,00:00,0,3640:13:00,569,00:10,1,441:07:00,383,1065:58:00,360,00:00,0,00:00,0,00:00,0,45979:59,163664
